,Zipcode,Store,Distance
0,95035,Walgreens Co. #3671,0.000
1,95035,Walgreens Co. #5480,0.000
2,95132,Walgreens Co. #900,6.738
3,95133,Walgreens Co. #842,11.149
4,95116,Walgreens Co. #5454,13.439
5,95122,"CVS Pharmacy, Inc. #09810",14.884
6,95122,Walgreens Co. #2081,14.884
7,95112,Walgreens Co. #4372,13.949
8,95148,Walgreens Co. #3445,16.257
9,95121,Walgreens Co. #1179,18.164
10,95126,Walgreens Co. #3754,17.999
11,95050,Walgreens Co. #15246,14.602
12,95050,Walgreens Co. #2612,14.602
13,95050,"CVS Pharmacy, Inc. #09944",14.602
14,94539,SAFEWAY PHARMACY #1931,14.498
15,95125,Rite Aid #RA105988,19.150
16,95128,Rite Aid #RA105993,17.027
