,Zipcode,Store,Distance
0,95035,Walgreens Co. #3671,0.78
1,95035,Walgreens Co. #5480,2.60
2,95132,Walgreens Co. #900,1.82
3,95133,Walgreens Co. #842,0.43
4,95116,Walgreens Co. #5454,1.20
5,95122,"CVS Pharmacy, Inc. #09810",0.27
6,95122,Walgreens Co. #2081,1.56
7,95112,Walgreens Co. #4372,0.37
8,95148,Walgreens Co. #3445,0.73
9,95121,Walgreens Co. #1179,0.03
10,95126,Walgreens Co. #3754,0.39
11,95050,Walgreens Co. #15246,0.16
12,95050,Walgreens Co. #2612,1.53
13,95050,"CVS Pharmacy, Inc. #09944",1.87
14,94539,SAFEWAY PHARMACY #1931,0.13
15,95125,Rite Aid #RA105988,1.95
16,95128,Rite Aid #RA105993,1.37
